Name,Date,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
Birds of Paradise,2021.0,5.8,1224.0,Drama,113.0,Film,R,-1.0,Mild,Mild,Moderate,Severe,Mild
The Girl Next Door,2004.0,6.7,215790.0,"Comedy, Drama, Romance",109.0,Film,R,-1.0,Moderate,Mild,Severe,Mild,None
A Discovery of Witches,2004.0,8.0,38749.0,"Drama, Fantasy, Romance",60.0,Series,TV-MA,20.0,Mild,Moderate,Mild,Mild,Moderate
Don't Breathe,2016.0,7.1,252617.0,"Crime, Horror, Thriller",88.0,Film,R,-1.0,Moderate,Severe,Severe,Mild,Severe
We're the Millers,2013.0,7.0,423818.0,"Comedy, Crime",110.0,Film,R,-1.0,Moderate,Mild,Severe,Severe,None
Saving Private Ryan,1998.0,8.6,1296420.0,"Drama, War",169.0,Film,R,-1.0,None,Severe,Moderate,Mild,Severe
The Grand Budapest Hotel,2014.0,8.1,748244.0,"Adventure, Comedy, Crime",99.0,Film,R,-1.0,Moderate,Moderate,Moderate,Mild,Mild
The Invisible Man,2020.0,7.1,194020.0,"Drama, Horror, Mystery",124.0,Film,R,-1.0,None,Severe,Moderate,Mild,Severe
Ida Red,2021.0,5.5,331.0,"Action, Thriller",111.0,Film,R,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
The VVitch: A New-England Folktale,2015.0,6.9,224807.0,"Drama, Horror, Mystery",92.0,Film,R,-1.0,Moderate,Severe,Mild,None,Severe
Letterkenny,2015.0,8.6,16915.0,Comedy,30.0,Series,TV-MA,61.0,Mild,Mild,Severe,Severe,None
The King,2019.0,7.2,102513.0,"Biography, Drama, History",140.0,Film,R,-1.0,Mild,Severe,Moderate,Mild,Moderate
Ready or Not,2019.0,6.9,128678.0,"Action, Comedy, Horror",95.0,Film,R,-1.0,None,Severe,Severe,Moderate,Moderate
Green Lantern,2011.0,5.5,276068.0,"Action, Adventure, Sci-Fi",114.0,Film,PG-13,-1.0,None,Moderate,Mild,Mild,Moderate
Nomadland,2020.0,7.4,129585.0,Drama,107.0,Film,R,-1.0,Mild,None,Mild,Mild,None
Barry Lyndon,1975.0,8.1,158934.0,"Adventure, Drama, History",185.0,Film,PG,-1.0,Moderate,Moderate,None,Mild,Moderate
Retfærdighedens ryttere,2020.0,7.6,29167.0,"Action, Comedy, Drama",116.0,Film,Not Rated,-1.0,Moderate,Moderate,Moderate,Moderate,Moderate
The Hangover,2009.0,7.7,744824.0,Comedy,100.0,Film,R,-1.0,Moderate,Mild,Severe,Moderate,Mild
What We Do in the Shadows,2014.0,7.7,169214.0,"Comedy, Horror",86.0,Film,R,-1.0,Mild,Moderate,Moderate,Mild,Mild
Raya and the Last Dragon,2021.0,7.4,118087.0,"Animation, Action, Adventure",107.0,Film,PG,-1.0,None,Mild,None,None,Mild
Lolita,1997.0,6.9,55502.0,"Drama, Romance",137.0,Film,R,-1.0,Moderate,Mild,Mild,Mild,Mild
The Amazing Spider-Man,2012.0,6.9,583453.0,"Action, Adventure, Fantasy",136.0,Film,PG-13,-1.0,Mild,Moderate,Mild,Mild,Moderate
Final Destination,2000.0,6.7,240824.0,"Horror, Thriller",98.0,Film,R,-1.0,Mild,Severe,Moderate,Mild,Severe
The West Wing,2000.0,8.8,69122.0,Drama,44.0,Series,TV-14,155.0,None,Mild,Mild,Mild,Moderate
Donnie Darko,2001.0,8.0,765552.0,"Drama, Mystery, Sci-Fi",113.0,Film,R,-1.0,Mild,Moderate,Moderate,Moderate,Moderate
Shershaah,2021.0,8.7,104091.0,"Action, Biography, Drama",135.0,Film,None,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
Person of Interest,2021.0,8.4,168671.0,"Action, Crime, Drama",43.0,Series,TV-14,103.0,Mild,Moderate,Mild,Mild,Moderate
Leverage,2021.0,7.9,48473.0,"Crime, Mystery, Thriller",42.0,Series,TV-PG,77.0,Mild,Mild,Mild,Mild,Mild
The O.C.,2021.0,7.5,84566.0,"Comedy, Drama, Romance",44.0,Series,TV-PG,92.0,Mild,Moderate,Mild,Moderate,Moderate
His Dark Materials,2021.0,7.9,57730.0,"Adventure, Drama, Family",60.0,Series,TV-14,23.0,None,Mild,Mild,Mild,Mild
Married with Children,2021.0,8.0,99818.0,Comedy,22.0,Series,TV-PG,262.0,Mild,None,Mild,Mild,None
The Good Wife,2021.0,8.3,71292.0,"Crime, Drama, Mystery",43.0,Series,TV-14,156.0,Moderate,Moderate,Mild,Mild,Mild
Licence to Kill,1989.0,6.6,99665.0,"Action, Adventure, Thriller",133.0,Film,PG-13,-1.0,Mild,Moderate,Mild,Moderate,Moderate
Grave,2016.0,7.0,67307.0,"Drama, Horror",99.0,Film,R,-1.0,Severe,Severe,Moderate,Moderate,Severe
Harry Potter and the Goblet of Fire,2005.0,7.7,576173.0,"Adventure, Family, Fantasy",157.0,Film,PG-13,-1.0,None,Moderate,Mild,Mild,Moderate
Freaky,2020.0,6.4,44790.0,"Comedy, Horror, Thriller",102.0,Film,R,-1.0,Mild,Severe,Severe,Mild,Moderate
The Cleaner,2020.0,7.0,1509.0,Comedy,30.0,Series,None,6.0,No Rate,No Rate,No Rate,No Rate,No Rate
The Expendables 4,2020.0,-1.0,-1.0,"Action, Adventure, Thriller",-1.0,Film,None,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
Grace and Frankie,2020.0,8.2,44246.0,Comedy,30.0,Series,TV-MA,94.0,Mild,None,Moderate,Moderate,None
Madres,2021.0,4.7,593.0,Horror,83.0,Film,Not Rated,-1.0,Mild,Mild,Mild,Severe,Mild
Shutter Island,2010.0,8.2,1201153.0,"Mystery, Thriller",138.0,Film,R,-1.0,Mild,Severe,Moderate,Moderate,Severe
Under Wraps,2021.0,4.7,369.0,"Family, Fantasy",91.0,Film,TV-Y7,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
Entourage,2021.0,8.4,162851.0,"Comedy, Drama",28.0,Series,TV-MA,96.0,Moderate,Mild,Severe,Severe,None
Harry Potter and the Deathly Hallows: Part 2,2011.0,8.1,805570.0,"Adventure, Fantasy, Mystery",130.0,Film,PG-13,-1.0,None,Moderate,Mild,None,Moderate
Avatar,2009.0,7.8,1158903.0,"Action, Adventure, Fantasy",162.0,Film,PG-13,-1.0,Mild,Moderate,Moderate,Mild,Moderate
The Flight Attendant,2009.0,7.1,37353.0,"Comedy, Drama, Mystery",-1.0,Series,TV-MA,9.0,Mild,Moderate,Moderate,Severe,Mild
The Princess Bride,1987.0,8.1,409486.0,"Adventure, Family, Fantasy",98.0,Film,PG,-1.0,None,Mild,Mild,None,Mild
The Last of Us,1987.0,-1.0,-1.0,"Action, Adventure, Drama",-1.0,Series,None,6.0,No Rate,No Rate,No Rate,No Rate,No Rate
The Mummy,1999.0,7.0,408196.0,"Action, Adventure, Fantasy",124.0,Film,PG-13,-1.0,Mild,Moderate,Mild,Mild,Moderate
Super Mario Bros.,1993.0,4.1,52230.0,"Adventure, Comedy, Family",104.0,Film,PG,-1.0,Mild,Mild,Mild,Mild,Moderate
Elementary,1993.0,7.9,105288.0,"Crime, Drama, Mystery",60.0,Series,TV-14,154.0,Mild,Moderate,Mild,Mild,No Rate
Star Trek: Picard,1993.0,7.5,50155.0,"Action, Adventure, Drama",46.0,Series,TV-MA,21.0,Mild,Moderate,Moderate,Mild,Moderate
The Addams Family,1993.0,7.9,16046.0,"Comedy, Family, Horror",30.0,Series,TV-G,64.0,None,None,None,Mild,None
Scream 2,1997.0,6.2,165426.0,"Horror, Mystery",120.0,Film,R,-1.0,Mild,Severe,Moderate,Mild,Severe
A.P. Bio,1997.0,7.4,12589.0,Comedy,21.0,Series,TV-14,42.0,Mild,Mild,Mild,Mild,None
Into the Night,1997.0,7.1,27656.0,"Drama, Sci-Fi, Thriller",-1.0,Series,TV-MA,12.0,Mild,Mild,Moderate,Mild,Mild
In the Dark,1997.0,7.5,7689.0,"Action, Crime, Horror",42.0,Series,TV-14,41.0,Moderate,Moderate,Moderate,Moderate,Moderate
The Hunt,2020.0,6.5,90206.0,"Action, Horror, Thriller",90.0,Film,R,-1.0,None,Severe,Severe,Mild,Severe
Tomb Raider,2018.0,6.3,203315.0,"Action, Adventure, Fantasy",119.0,Film,PG-13,-1.0,None,Moderate,Mild,Mild,Moderate
The Prestige,2006.0,8.5,1249036.0,"Drama, Mystery, Sci-Fi",130.0,Film,PG-13,-1.0,Mild,Moderate,Mild,Mild,Moderate
Spider-Man: Into the Spider-Verse,2018.0,8.4,431235.0,"Animation, Action, Adventure",117.0,Film,PG,-1.0,None,Mild,Mild,None,Mild
Orphan,2009.0,7.0,203890.0,"Horror, Mystery, Thriller",123.0,Film,R,-1.0,Moderate,Severe,Moderate,Mild,Severe
The Hills Have Eyes,2006.0,6.4,164444.0,"Horror, Thriller",107.0,Film,R,-1.0,Severe,Severe,Severe,Mild,Severe
Jumper,2008.0,6.1,295834.0,"Action, Adventure, Sci-Fi",88.0,Film,PG-13,-1.0,Mild,Moderate,Moderate,Mild,Moderate
Banshee,2008.0,8.4,93482.0,"Action, Crime, Drama",60.0,Series,TV-MA,38.0,Severe,Severe,Severe,Moderate,Severe
Atypical,2008.0,8.3,77210.0,"Comedy, Drama",30.0,Series,TV-MA,38.0,Mild,None,Mild,Mild,None
God's Not Dead: We the People,2021.0,3.7,234.0,Drama,110.0,Film,PG,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
Us,2019.0,6.8,258396.0,"Horror, Mystery, Thriller",116.0,Film,R,-1.0,None,Severe,Moderate,Mild,Severe
Sicario,2015.0,7.6,396825.0,"Action, Crime, Drama",121.0,Film,R,-1.0,Mild,Severe,Severe,Moderate,Severe
Dynasty,2015.0,7.3,17568.0,Drama,42.0,Series,TV-14,108.0,Mild,Mild,Mild,Mild,Mild
Whiplash,2014.0,8.5,767273.0,"Drama, Music",106.0,Film,R,-1.0,None,Mild,Severe,Mild,Moderate
Sabrina the Teenage Witch,2014.0,6.7,36488.0,"Comedy, Family, Fantasy",22.0,Series,TV-G,163.0,None,None,None,None,None
Boogie Nights,1997.0,7.9,251062.0,Drama,155.0,Film,R,-1.0,Severe,Moderate,Severe,Severe,Moderate
Deadpool 2,2018.0,7.7,520665.0,"Action, Adventure, Comedy",119.0,Film,R,-1.0,Moderate,Severe,Severe,Moderate,Moderate
Copshop,2021.0,6.4,5502.0,"Action, Crime, Thriller",107.0,Film,R,-1.0,Mild,Severe,Severe,Mild,Moderate
Fright Night,1985.0,7.1,65518.0,"Fantasy, Horror, Thriller",106.0,Film,R,-1.0,Moderate,Severe,Moderate,Mild,Moderate
It Chapter Two,2019.0,6.5,231670.0,"Drama, Fantasy, Horror",169.0,Film,R,-1.0,Mild,Severe,Severe,Mild,Severe
Another Life,2019.0,5.0,28031.0,"Adventure, Drama, Mystery",43.0,Series,TV-MA,20.0,Mild,Moderate,Severe,Mild,Mild
Taboo,2019.0,8.4,121403.0,"Drama, Mystery, Thriller",59.0,Series,TV-MA,16.0,Moderate,Severe,Moderate,Moderate,Moderate
Sweet Girl,2021.0,5.5,25740.0,"Action, Drama, Thriller",110.0,Film,R,-1.0,None,Moderate,Moderate,None,Moderate
Star Wars: The Clone Wars,2021.0,8.3,75309.0,"Animation, Action, Adventure",23.0,Series,TV-PG,133.0,Mild,Moderate,None,Mild,Moderate
One Summer,2021.0,7.3,309.0,"Drama, Mystery, Romance",84.0,Film,None,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
Downton Abbey,2019.0,7.4,46222.0,"Drama, Romance",122.0,Film,PG,-1.0,Mild,None,None,Mild,Mild
Miracle Workers,2019.0,7.1,12187.0,"Comedy, Drama, Fantasy",22.0,Series,TV-14,27.0,Mild,Mild,Mild,Mild,Mild
Pride & Prejudice,2005.0,7.8,274365.0,"Drama, Romance",129.0,Film,PG,-1.0,None,None,None,Mild,None
Most Dangerous Game,2005.0,7.0,4838.0,"Short, Action, Thriller",7.0,Series,TV-MA,16.0,None,Severe,Moderate,Mild,Moderate
13 Reasons Why,2005.0,7.5,271324.0,"Drama, Mystery, Thriller",60.0,Series,TV-MA,49.0,Severe,Severe,Severe,Severe,Severe
News of the World,2020.0,6.8,76239.0,"Action, Adventure, Drama",118.0,Film,PG-13,-1.0,None,Mild,Mild,Mild,Mild
The Great Gatsby,2013.0,7.2,505143.0,"Drama, Romance",143.0,Film,PG-13,-1.0,Mild,Mild,Mild,Moderate,Mild
Night Teeth,2021.0,-1.0,-1.0,"Action, Crime, Drama",107.0,Film,None,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
Thalaivi,2021.0,6.1,28148.0,"Biography, Drama",153.0,Film,None,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
Friday the 13th,2009.0,5.5,102439.0,"Horror, Mystery, Thriller",97.0,Film,R,-1.0,Severe,Severe,Severe,Severe,Severe
The Green Mile,1999.0,8.6,1207936.0,"Crime, Drama, Fantasy",189.0,Film,R,-1.0,Mild,Severe,Moderate,Mild,Severe
Hannibal,1999.0,8.5,239663.0,"Crime, Drama, Horror",44.0,Series,TV-MA,39.0,Moderate,Severe,Mild,Mild,Severe
Papillon,2017.0,7.2,66488.0,"Adventure, Biography, Crime",133.0,Film,R,-1.0,Moderate,Severe,Moderate,Mild,Moderate
The Texas Chain Saw Massacre,1974.0,7.5,147052.0,Horror,83.0,Film,R,-1.0,None,Moderate,Mild,Mild,Severe
Fleabag,1974.0,8.7,123036.0,"Comedy, Drama",27.0,Series,TV-MA,12.0,Moderate,Mild,Severe,Moderate,Mild
Official Secrets,2019.0,7.3,41558.0,"Biography, Crime, Drama",112.0,Film,R,-1.0,Mild,None,Moderate,None,Mild
Pirates of the Caribbean: The Curse of the Black Pearl,2003.0,8.0,1047410.0,"Action, Adventure, Fantasy",143.0,Film,PG-13,-1.0,Mild,Moderate,Mild,Moderate,Moderate
Battlestar Galactica,2003.0,8.7,158365.0,"Action, Adventure, Drama",44.0,Series,TV-14,74.0,Moderate,Moderate,Mild,Mild,Moderate
Pretty Little Liars,2003.0,7.4,157955.0,"Drama, Mystery, Romance",44.0,Series,TV-14,160.0,Mild,Moderate,Mild,Mild,Moderate
Man of Steel,2013.0,7.0,731861.0,"Action, Adventure, Sci-Fi",143.0,Film,PG-13,-1.0,None,Moderate,Mild,Mild,Moderate
Live by Night,2016.0,6.4,55020.0,"Action, Crime, Drama",129.0,Film,R,-1.0,Mild,Severe,Severe,Moderate,Moderate
In Time,2011.0,6.7,389523.0,"Action, Sci-Fi, Thriller",109.0,Film,PG-13,-1.0,Mild,Moderate,Mild,Mild,Moderate
The Social Network,2010.0,7.7,656645.0,"Biography, Drama",120.0,Film,PG-13,-1.0,Moderate,None,Moderate,Moderate,Mild
Hamilton,2020.0,8.4,74919.0,"Biography, Drama, History",160.0,Film,PG-13,-1.0,Mild,Mild,Moderate,Mild,Mild
Raised by Wolves,2020.0,7.5,57754.0,"Drama, Fantasy, Sci-Fi",-1.0,Series,TV-MA,11.0,Mild,Severe,Mild,Mild,Moderate
Queen of the South,2020.0,8.0,24795.0,"Action, Crime, Drama",42.0,Series,TV-MA,62.0,Mild,Severe,Severe,Severe,Severe
Power Book III: Raising Kanan,2020.0,7.3,1987.0,"Crime, Drama",60.0,Series,TV-MA,11.0,Severe,Severe,Severe,Severe,Moderate
Injustice,2021.0,-1.0,-1.0,"Animation, Action, Adventure",78.0,Film,R,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
Halloween H20: 20 Years Later,1998.0,5.8,69868.0,"Horror, Thriller",86.0,Film,R,-1.0,Mild,Severe,Moderate,Mild,Severe
The Big Short,2015.0,7.8,392393.0,"Biography, Comedy, Drama",130.0,Film,R,-1.0,Moderate,None,Severe,Mild,Mild
Prometheus,2012.0,7.0,585488.0,"Adventure, Mystery, Sci-Fi",124.0,Film,R,-1.0,Mild,Severe,Moderate,Mild,Severe
Project X,2012.0,6.6,197140.0,Comedy,88.0,Film,R,-1.0,Severe,Moderate,Severe,Severe,Moderate
The Sixth Sense,1999.0,8.1,944500.0,"Drama, Mystery, Thriller",107.0,Film,PG-13,-1.0,Mild,Moderate,Mild,Mild,Moderate
From Russia with Love,1963.0,7.4,126977.0,"Action, Adventure, Thriller",115.0,Film,PG,-1.0,Mild,Moderate,Mild,Mild,Mild
Never Have I Ever,1963.0,7.8,39948.0,"Comedy, Drama",30.0,Series,TV-14,21.0,Mild,None,Mild,Mild,None
The Good Fight,1963.0,8.3,23452.0,"Crime, Drama",45.0,Series,TV-MA,51.0,Moderate,No Rate,Moderate,Mild,Mild
Dear White People,1963.0,6.2,24125.0,"Comedy, Drama",30.0,Series,TV-MA,40.0,Moderate,No Rate,Moderate,Moderate,No Rate
"Roswell, New Mexico",1963.0,6.3,10566.0,"Drama, Romance, Sci-Fi",45.0,Series,TV-14,42.0,Mild,Moderate,Mild,Mild,Mild
Sweet Tooth,1963.0,7.9,43329.0,"Action, Adventure, Drama",-1.0,Series,TV-14,16.0,None,Mild,Mild,None,Mild
Pose,1963.0,8.6,25107.0,Drama,60.0,Series,TV-MA,26.0,Moderate,Mild,Severe,Severe,Mild
Dawson's Creek,1963.0,6.7,39015.0,"Drama, Romance",60.0,Series,TV-14,128.0,Mild,Mild,Mild,Mild,Mild
Nocturnal Animals,2016.0,7.5,254129.0,"Drama, Thriller",116.0,Film,R,-1.0,Moderate,Moderate,Moderate,Mild,Severe
The Man in the High Castle,2016.0,8.0,93803.0,"Drama, Sci-Fi, Thriller",60.0,Series,TV-MA,40.0,Moderate,Severe,Moderate,Moderate,Moderate
Mars Attacks!,1996.0,6.3,218403.0,"Comedy, Sci-Fi",106.0,Film,PG-13,-1.0,Mild,Moderate,Mild,Mild,Moderate
The Devil All the Time,2020.0,7.1,113731.0,"Crime, Drama, Thriller",138.0,Film,R,-1.0,Moderate,Severe,Moderate,Mild,Severe
Sen to Chihiro no kamikakushi,2001.0,8.6,697008.0,"Animation, Adventure, Family",125.0,Film,PG,-1.0,None,Mild,None,Mild,Moderate
Practical Magic,1998.0,6.3,76854.0,"Comedy, Drama, Fantasy",104.0,Film,PG-13,-1.0,Mild,Mild,Moderate,Mild,Moderate
Love,2015.0,6.1,53341.0,"Drama, Romance",135.0,Film,TV-MA,-1.0,Severe,Mild,Severe,Severe,Mild
Cheers,2015.0,7.9,50874.0,"Comedy, Drama",22.0,Series,TV-PG,271.0,Mild,Mild,Mild,Mild,None
The Flash,2022.0,-1.0,-1.0,"Action, Adventure, Fantasy",-1.0,Film,None,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
Chilling Adventures of Sabrina,2022.0,7.5,84864.0,"Drama, Fantasy, Horror",60.0,Series,TV-14,36.0,Mild,Moderate,Mild,Mild,Severe
The Lost Boys,1987.0,7.3,132494.0,"Comedy, Horror",97.0,Film,R,-1.0,Mild,Moderate,Mild,Mild,Moderate
Chaos Walking,2021.0,5.7,33697.0,"Action, Adventure, Fantasy",109.0,Film,PG-13,-1.0,Mild,Moderate,Mild,None,Moderate
The Cabin in the Woods,2011.0,7.0,394326.0,"Horror, Mystery, Thriller",95.0,Film,R,-1.0,Moderate,Severe,Moderate,Moderate,Severe
Troy,2004.0,7.3,507919.0,"Drama, History",163.0,Film,R,-1.0,Moderate,Severe,Mild,Mild,Moderate
Saved by the Bell,2004.0,7.0,33711.0,"Comedy, Family, Romance",30.0,Series,TV-PG,86.0,None,None,No Rate,Mild,None
Jumanji: The Next Level,2019.0,6.7,216424.0,"Action, Adventure, Comedy",123.0,Film,PG-13,-1.0,Mild,Mild,Moderate,None,Moderate
Taxi Driver,1976.0,8.2,764376.0,"Crime, Drama",114.0,Film,R,-1.0,Moderate,Severe,Severe,Moderate,Severe
Halloween Ends,2022.0,-1.0,-1.0,"Horror, Thriller",-1.0,Film,None,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
Spiral: From the Book of Saw,2021.0,5.3,37402.0,"Crime, Horror, Mystery",93.0,Film,R,-1.0,None,Severe,Severe,Mild,Severe
Our Kind of People,2021.0,5.0,687.0,Drama,-1.0,Series,TV-14,5.0,No Rate,No Rate,No Rate,No Rate,No Rate
I Know What You Did Last Summer,1997.0,5.7,139464.0,"Horror, Mystery",101.0,Film,R,-1.0,Mild,Severe,Severe,Mild,Moderate
Tokyo Revengers,1997.0,8.4,6876.0,"Animation, Action, Drama",24.0,Series,TV-14,25.0,Mild,Moderate,Mild,Mild,Moderate
Motherland: Fort Salem,1997.0,7.3,11423.0,"Drama, Fantasy, Sci-Fi",42.0,Series,TV-14,22.0,Mild,Moderate,Mild,Mild,Moderate
Nightcrawler,2014.0,7.8,497755.0,"Crime, Drama, Thriller",117.0,Film,R,-1.0,None,Moderate,Severe,Mild,Moderate
Malcolm in the Middle,2014.0,8.0,123418.0,"Comedy, Family",22.0,Series,TV-PG,151.0,Mild,Mild,Mild,Mild,None
After We Collided,2020.0,5.2,25369.0,"Drama, Romance",105.0,Film,R,-1.0,Moderate,Mild,Moderate,Moderate,Mild
The Twilight Zone,2020.0,9.0,76381.0,"Drama, Fantasy, Horror",51.0,Series,TV-PG,156.0,None,Mild,Mild,Mild,Moderate
Black Swan,2010.0,8.0,725939.0,"Drama, Thriller",108.0,Film,R,-1.0,Severe,Severe,Moderate,Moderate,Severe
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020.0,6.1,210807.0,"Action, Adventure, Comedy",109.0,Film,R,-1.0,Mild,Severe,Severe,Moderate,Moderate
The Greatest Showman,2017.0,7.6,257193.0,"Biography, Drama, Musical",105.0,Film,PG,-1.0,None,Mild,None,Mild,Mild
Scarface,1983.0,8.3,781141.0,"Crime, Drama",170.0,Film,R,-1.0,Moderate,Severe,Severe,Severe,Severe
Requiem for a Dream,2000.0,8.3,797796.0,Drama,102.0,Film,Unrated,-1.0,Severe,Severe,Severe,Severe,Severe
Tacoma FD,2000.0,8.1,3920.0,Comedy,30.0,Series,TV-14,30.0,Mild,Mild,Moderate,Mild,None
All American,2000.0,7.6,8663.0,"Drama, Sport",45.0,Series,TV-14,53.0,Mild,Moderate,Mild,Moderate,Mild
The Americans,2000.0,8.4,91114.0,"Crime, Drama, Mystery",44.0,Series,TV-MA,75.0,Moderate,Moderate,Mild,Mild,Moderate
3%,2000.0,7.4,23644.0,"Action, Drama, Sci-Fi",49.0,Series,TV-MA,33.0,Mild,Moderate,Moderate,Mild,Moderate
Unforgotten,2000.0,8.3,19048.0,"Crime, Drama, Mystery",45.0,Series,TV-MA,30.0,Mild,Moderate,Moderate,Mild,Moderate
The Haunted Mansion,2003.0,5.1,46587.0,"Comedy, Family, Fantasy",99.0,Film,PG,-1.0,None,Mild,Mild,Mild,Moderate
West Side Story,2021.0,-1.0,-1.0,"Crime, Drama, Musical",-1.0,Film,PG-13,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
American Beauty,1999.0,8.3,1106814.0,Drama,122.0,Film,R,-1.0,Severe,Moderate,Severe,Moderate,Moderate
Mumbai Diaries 26/11,1999.0,8.8,26527.0,"Drama, Thriller",-1.0,Series,TV-MA,8.0,Mild,Severe,Severe,Mild,Severe
Sleepy Hollow,1999.0,7.3,344487.0,"Fantasy, Horror, Mystery",105.0,Film,R,-1.0,Mild,Severe,None,Mild,Moderate
Halloween II,2009.0,4.8,51201.0,Horror,105.0,Film,R,-1.0,Severe,Severe,Severe,Moderate,Severe
Legally Blonde,2001.0,6.4,200635.0,"Comedy, Romance",96.0,Film,PG-13,-1.0,Mild,Mild,Mild,None,None
Gossip Girl,2001.0,5.3,6507.0,"Drama, Romance",60.0,Series,TV-MA,14.0,Moderate,None,Mild,Moderate,None
Ex Machina,2014.0,7.7,503935.0,"Drama, Sci-Fi, Thriller",108.0,Film,R,-1.0,Moderate,Moderate,Moderate,Moderate,Moderate
Snowpiercer,2014.0,6.9,41412.0,"Action, Drama, Sci-Fi",60.0,Series,TV-MA,31.0,Moderate,Severe,Moderate,Mild,Moderate
Last Man Standing,2014.0,7.5,31648.0,Comedy,30.0,Series,TV-PG,194.0,None,None,Mild,Mild,No Rate
Narcos: México,2014.0,8.4,66885.0,"Crime, Drama",50.0,Series,TV-MA,29.0,Severe,Severe,Severe,Severe,Severe
"Love, Death & Robots",2014.0,8.5,124835.0,"Animation, Short, Action",15.0,Series,TV-MA,26.0,Severe,Severe,Severe,Moderate,Moderate
Harry Potter and the Chamber of Secrets,2002.0,7.4,584281.0,"Adventure, Family, Fantasy",161.0,Film,PG,-1.0,None,Mild,Mild,None,Moderate
Mythic Quest: Raven's Banquet,2002.0,7.7,17366.0,Comedy,30.0,Series,TV-MA,20.0,Mild,Mild,Severe,Mild,None
Saw,2004.0,7.6,398328.0,"Horror, Mystery, Thriller",103.0,Film,R,-1.0,Mild,Severe,Severe,Mild,Severe
Good Will Hunting,1997.0,8.3,903784.0,"Drama, Romance",126.0,Film,R,-1.0,Mild,Mild,Severe,Mild,Mild
Halloween: Resurrection,2002.0,4.0,40340.0,"Horror, Thriller",94.0,Film,R,-1.0,Mild,Severe,Severe,Mild,Moderate
Psycho,1960.0,8.5,632885.0,"Horror, Mystery, Thriller",109.0,Film,R,-1.0,Mild,Moderate,None,None,Moderate
"Doogie Kamealoha, M.D.",1960.0,5.8,1023.0,"Comedy, Drama, Family",30.0,Series,TV-PG,10.0,No Rate,No Rate,No Rate,No Rate,No Rate
Hacksaw Ridge,2016.0,8.1,470213.0,"Biography, Drama, History",139.0,Film,R,-1.0,Mild,Severe,Mild,Mild,Severe
The Revenant,2015.0,8.0,745279.0,"Action, Adventure, Drama",156.0,Film,R,-1.0,Mild,Severe,Moderate,Mild,Severe
Fear Street: 1978,2021.0,6.7,50405.0,"Drama, Horror, Mystery",109.0,Film,R,-1.0,Moderate,Severe,Moderate,Moderate,Severe
Coraline,2009.0,7.7,209543.0,"Animation, Drama, Family",100.0,Film,PG,-1.0,Mild,Mild,Mild,None,Moderate
Vivo,2021.0,6.7,13103.0,"Animation, Adventure, Comedy",95.0,Film,PG,-1.0,None,None,None,None,None
The Nevers,2021.0,7.4,17975.0,"Action, Drama, Fantasy",58.0,Series,TV-MA,12.0,Moderate,Moderate,Moderate,Mild,Moderate
The Conners,2021.0,5.3,9265.0,Comedy,30.0,Series,TV-PG,57.0,Mild,None,Mild,Mild,Mild
Van Helsing,2004.0,6.1,254911.0,"Action, Adventure, Fantasy",131.0,Film,PG-13,-1.0,Mild,Moderate,Mild,Mild,Moderate
Baywatch,2004.0,5.3,26458.0,"Action, Adventure, Crime",60.0,Film,PG-13,-1.0,Mild,Moderate,Mild,Mild,Moderate
Logan,2017.0,8.1,691288.0,"Action, Drama, Sci-Fi",137.0,Film,R,-1.0,Mild,Severe,Severe,Moderate,Severe
Jojo Rabbit,2019.0,7.9,341408.0,"Comedy, Drama, War",108.0,Film,PG-13,-1.0,None,Mild,Moderate,Mild,Moderate
Fantasy Island,2019.0,6.0,2555.0,"Adventure, Drama, Fantasy",-1.0,Series,TV-14,8.0,No Rate,No Rate,No Rate,No Rate,No Rate
Dazed and Confused,1993.0,7.6,174514.0,Comedy,102.0,Film,R,-1.0,Mild,Mild,Severe,Severe,None
The Chair,1993.0,7.2,12099.0,"Comedy, Drama",30.0,Series,TV-MA,6.0,Mild,None,Moderate,Moderate,None
One Hour Photo,2002.0,6.8,119154.0,"Drama, Thriller",96.0,Film,R,-1.0,Severe,Moderate,Moderate,Mild,Moderate
Walker,2002.0,6.1,7858.0,"Action, Crime, Drama",-1.0,Series,TV-14,20.0,Mild,Moderate,Mild,Mild,No Rate
Top Gun,1986.0,6.9,311891.0,"Action, Drama",110.0,Film,PG,-1.0,Mild,Mild,Moderate,Mild,Mild
