Name,Date,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
The Snowman,2017.0,5.1,61188.0,"Crime, Drama, Thriller",119.0,Film,R,-1.0,Moderate,Severe,Moderate,Mild,Severe
Marry Me,2022.0,-1.0,-1.0,"Comedy, Music, Romance",112.0,Film,PG-13,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
Riddick,2013.0,6.4,159576.0,"Action, Sci-Fi, Thriller",119.0,Film,R,-1.0,Moderate,Severe,Severe,Mild,Severe
The Assassination of Jesse James by the Coward Robert Ford,2007.0,7.5,174970.0,"Biography, Crime, Drama",160.0,Film,R,-1.0,Mild,Severe,Mild,Mild,Moderate
Honey Boy,2019.0,7.3,33212.0,Drama,94.0,Film,R,-1.0,Mild,Moderate,Severe,Moderate,Moderate
Nailed It!,2019.0,7.4,4400.0,"Game-Show, Reality-TV",33.0,Series,TV-PG,39.0,Mild,None,Mild,Mild,None
Violation,2020.0,5.3,3077.0,"Drama, Horror",107.0,Film,Unrated,-1.0,Severe,Severe,Moderate,Mild,Severe
Saw III,2006.0,6.2,186221.0,"Crime, Horror, Mystery",108.0,Film,R,-1.0,Moderate,Severe,Severe,Mild,Severe
Mob Psycho 100,2006.0,8.6,21633.0,"Animation, Action, Comedy",24.0,Series,TV-14,25.0,Mild,Moderate,Mild,None,Moderate
"Paris, Texas",1984.0,8.1,99578.0,Drama,145.0,Film,R,-1.0,Mild,None,Mild,Mild,None
One Night in Miami...,2020.0,7.1,29128.0,Drama,114.0,Film,R,-1.0,None,Mild,Moderate,Mild,None
Penny Dreadful: City of Angels,2020.0,6.0,8953.0,"Crime, Drama, Fantasy",-1.0,Series,TV-MA,10.0,Moderate,Severe,Moderate,Moderate,Moderate
"Definitely, Maybe",2008.0,7.1,160856.0,"Comedy, Drama, Romance",112.0,Film,PG-13,-1.0,Mild,None,Mild,Mild,None
Say Anything...,1989.0,7.3,86234.0,"Comedy, Drama, Romance",100.0,Film,PG-13,-1.0,Mild,None,Mild,Mild,None
Soleil rouge,1971.0,6.9,8873.0,"Action, Western",112.0,Film,PG,-1.0,Mild,Moderate,Mild,Mild,Moderate
Werk ohne Autor,2018.0,7.8,19092.0,"Biography, Drama, Romance",189.0,Film,R,-1.0,Severe,Mild,Mild,Mild,Moderate
Criminal: UK,2018.0,7.6,16556.0,"Crime, Drama, Mystery",43.0,Series,TV-MA,7.0,Mild,None,Moderate,Mild,None
Kin,2018.0,5.8,16160.0,"Action, Drama, Sci-Fi",102.0,Film,PG-13,-1.0,Mild,Moderate,Moderate,Moderate,Moderate
Funny Games,2007.0,6.6,94058.0,"Crime, Drama, Thriller",111.0,Film,R,-1.0,Mild,Moderate,Moderate,Mild,Severe
Wild Mountain Thyme,2020.0,5.7,5931.0,"Comedy, Drama, Romance",102.0,Film,PG-13,-1.0,None,None,Mild,Mild,None
